Rank,Class,NSmells,LOC,Methods,Selected
222,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Param.java,63,157,13,
223,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCachePCDataImpl.java,63,204,23,
224,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StartsWithExpression.java,63,274,36,
225,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Aggregate.java,62,159,12,
226,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/LazyForwardResultList.java,62,188,27,
227,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/SaveFieldManager.java,61,218,9,
228,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/MultiClassLoader.java,61,262,20,
229,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetObjectId.java,60,164,10,
230,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCacheManagerImpl.java,60,210,17,
231,openjpa-kernel/src/main/java/org/apache/openjpa/event/RemoteCommitEventManager.java,60,235,17,
232,openjpa-kernel/src/main/java/org/apache/openjpa/conf/MetaDataCacheMaintenance.java,59,186,10,
233,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/CaseExpressionImpl.java,59,198,31,
234,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Lit.java,58,150,13,
235,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Math.java,58,158,14,
236,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/FinderQueryImpl.java,58,177,8,
237,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DistinctResultList.java,58,208,39,
238,openjpa-kernel/src/main/java/org/apache/openjpa/meta/QueryMetaData.java,58,286,38,
239,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedSQLStoreQuery.java,57,152,9,
240,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NullIfExpression.java,57,162,18,
241,openjpa-lib/src/main/java/org/apache/openjpa/lib/identifier/IdentifierRule.java,57,172,27,
242,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/LazySchemaFactory.java,57,194,21,
243,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/EntityTable.java,55,181,11,
244,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/CandidatePath.java,55,199,18,
245,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ExtractDateTimeField.java,54,151,14,
246,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/MapEntry.java,54,159,15,
247,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Concat.java,53,151,13,
248,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/Normalizer.java,53,252,22,
249,openjpa-lib/src/main/java/org/apache/openjpa/lib/rop/WindowResultList.java,52,158,16,
250,openjpa-jest/src/main/java/org/apache/openjpa/persistence/jest/TokenReplacedStream.java,52,172,11,
251,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EndsWithExpression.java,52,200,19,
252,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/CacheStatisticsImpl.java,52,212,33,
253,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/SavepointFieldManager.java,52,218,14,
254,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/ParameterTemplate.java,52,232,23,
